Man muss wissen, dass wahrscheinlich alle Anstrengungen vergeblich sein werden. Man muss wissen, dass das Wetter jederzeit alles zunichte machen kann. Man muss wissen, dass die Chancen wahnsinnig schlecht stehen, einen wirklich guten Apfel zu finden, und dass es Jahrzehnte dauern kann. Wenn man <b>____</b> <b>____</b> <b>____</b> hat, dann kann man anfangen, Äpfel zu züchten.	sich , damit , abgefunden	dreht , geschert , fixe	gehörigen , rangiert , griff	bewältigen , führen , griffen
Die Manageretage hat üppige <b>____</b> erhalten.	Abfindungen	Plumps	Ausflüchte	Daraufhin
Das Gericht verurteilte den Angeklagten zur Zahlung einer angemessenen <b>____</b>.	Abfindung	Maßstäbe	Tummelt	Havarie
Die Vorwürfe gegen den Bundespräsidenten sind noch lange nicht <b>____</b>.	abgefrühstückt	meucheln	erlassene	an
Während sich der Nachwuchs bereits mit völlig anderen Kindern amüsiert, muss man noch die Gegeneinladung für die Eltern von Susi <b>____</b>.	abfrühstücken	verlassen	umgeworfen	erhabener
eine <b>____</b> Rockband	abgefahrene	abzuwenden	peile	anfällt
Bambus ist voll das <b>____</b> Material	abgefahrene	rühmen	biedere	mich
<b>____</b> Klamotten	abgefahrene	aushecken	gedenkt	eruieren
Er hat ihm beim Pokern 2000 Euro <b>____</b>.	abgewonnen	urig	unterliegen	der
jdm. ein Lächeln / ein Versprechen <b>____</b>.	abgewinnen	erhaben	drückend	legten
Er kann der modernen Kunst nichts Faszinierendes <b>____</b>; Ich kann der Sache nichts Positives <b>____</b>.	abgewinnen , abgewinnen	quirlig , schleierhaft	verständigte , traute	arg , gegenüberstehen
Bertini kann dem Burka-Verbot bis heute nichts <b>____</b>: 'Es wurde ein beträchtlicher Aufwand geleistet, um ein Problem zu lösen, das es faktisch nicht gibt.' In den bald fünf Jahren seit dem Inkrafttreten des Gesetzes, schätzt er, habe die Stadtpolizei ein Dutzend Bußen ausgesprochen – drei pro Jahr. Meist blieb es bei einer Ermahnung.	abgewinnen	sehnt	verheizt	unterzog
Die Krankengymnastin <b>____</b> das verletzte Kniegelenk <b>____</b>.	greift , ab	wiederum , unentwegt	erliegen , nachlesen	nachgiebige , ausgewogensten
Die Ärztin <b>____</b> die Körperstelle/den Knochen <b>____</b>.	griff , ab	legten , beigefügt	entfällt , urige	wälzen , austricksen
SMS-Phishing oder auch Smishing. Phishing nennt man eine Betrugsmasche, bei der Angreifer im Internet Nutzerdaten 'fischen'. Der Begriff ist aus den englischen Wörtern 'password harvesting', Passwörter <b>____</b>, kurz ph, und fishing zusammengesetzt – das sollte aber nicht davon ablenken, dass auch andere Informationen gestohlen werden können.	abgreifen	hinausgelaufen	zumutbar	flashe
Wer Umsatz machte, konnte hohe Prämien <b>____</b>.	abgreifen	unterjochen	selbst	stellte
Die Eingangstür wird jährlich von tausenden Besuchern <b>____</b>.	abgegriffen	untergeschlagenen	aufging	ü
Die Farbe <b>____</b> sich rasch <b>____</b>.	greift , ab	stürzte , verquere	ernüchtern , zumutbar	betäuben , verunglimpft
Sie haben ihn gleich am Eingang <b>____</b> und in einen dunklen Kombi verfrachtet.	abgegriffen	zufügen	zoffen	ausgewogensten
Man wird mit Hilfe der hier gegebenen Anweisung auch jede andere Abmessung der Figurine leicht <b>____</b> im Stande sein.	abzugreifen	verrecken	hervorgeht	verfochten
Ich <b>____</b> die Entfernung mit dem Zirkel <b>____</b>.	griff , ab	verwahren , aus	gab , knickte	windet , trotzige
Wir horchen mit unseren Geräten sehr, sehr tief in das Universum hinein und es ist uns durch einen ungeheuren Zufall geglückt zu erkennen, dass wir das empfangene Signal direkt an seinem Sender <b>____</b> haben.	abgegriffen	abgreifen	walzen	stichhaltige
Sie blickten in einen tiefen <b>____</b>, der sich rechts und links weit hinzog.	Abgrund	Stellungnahme	Biederer	Vor
Evoziert wird eine Situation des Höhenschwindels, die an Rousseaus Faszination für Wasserfälle und <b>____</b> erinnert.	Abgründe	Einsicht	Ehrgeiz	Setzt
Um meine Erinnerungen zu dämpfen, um die Schmerzen zu dämpfen, vertiefte ich mich in meine Arbeit, machte Überstunden, machte Abendkurse, alles um nicht nachdenken zu müssen. Das brachte mich an den Rand des <b>____</b>.	Abgrundes	Sich	Zuversicht	Maßstäbe
<b>____</b> sprechen	abgehackt	tummeln	unausgegoren	setzen
Wenn Sie die Framerate verringern, um die vom Video-Stream benötigte Bandbreite zu reduzieren, kann das Video während der Wiedergabe <b>____</b> wirken.	abgehackt	erhaben	überschlugen	walzen
Ich wollte das kaufen, aber du hast mich <b>____</b> <b>____</b>.	davon , abgehalten	verschanzt , bekannt	vorweg , abhalten	urige , bekräftigte
Die Farbe <b>____</b> sie <b>____</b> <b>____</b>, die Schuhe zu kaufen.	hielt , davon , ab	erdrücken , grimmigen , sezieren	entbehren , zuzuschlie , rügen	führte , musterten , beschaffen
die Fliegen <b>____</b> dem schlafenden Säugling <b>____</b>	von , abhalten	ersinnen , trickste	desavouierte , geahndet	mitunter , wiederum
sie <b>____</b> ihn <b>____</b> <b>____</b>, noch mehr zu trinken	hielt , davon , ab	stellen , eitel , preiste	partout , anderweitigen , vorbehalten	scherst , walzen , aufböten
die Kinder <b>____</b> Lernen <b>____</b>	vom , abhalten	aufgehen , schüren	absondern , irreführender	einhergeht , erlegen
Die schwierige rechtliche Situation <b>____</b> viele Städte in Deutschland nicht <b>____</b> <b>____</b>, solche besonderen Ampeln aufzustellen.	hielt , davon , ab	schlägt , einschleifen , verpflichtet	machst , verbuchen , plumpe	gehörig , unmittelbar , stimmten
Der Verein <b>____</b> jedes Jahr im Frühling eine Vollversammlung <b>____</b>.	hält , ab	schüren , aufbieten	ersinnen , musterten	ergiebiger , macht
eine Konferenz, eine Versammlung <b>____</b>	abhalten	hinausgelaufen	zuschlug	einschlägigen
Ich bin grüner Oberbürgermeister in einer liberalen Universitätsstadt. Als die NPD vor zehn Jahren versucht hat, in Tübingen eine Demonstration <b>____</b>, haben wir sie durch eine Gegendemonstration mit einer zwanzigfachen Übermacht in den Bahnhof zurückgeschickt. Tübingen ist gewiss nicht Chemnitz.	abzuhalten	taugen	biederen	räumt
die Zeitung beim Lesen weiter [<b>____</b> sich] <b>____</b>	von , abhalten	umwerfend , verschaffen	verschlungen , verrennen	zugeschlagen , nörgeln
Die Mutter blieb hinter der Wandergruppe zurück, weil sie ihren Zweijährigen <b>____</b> musste.	abhalten	erschlich	bestückten	vorherrschende
Der Tanker musste Öl ins Meer <b>____</b>. die Luft aus einer Luftmatratze <b>____</b>.	ablassen , ablassen	bekannt , entweicht	zur , brisante	angesetzt , ersinnen
<b>____</b> einem Plan, <b>____</b> einer Gewohnheit <b>____</b>	von , von , ablassen	abgeschlagen , beanstandet , zuversichtlich	erzwingen , gemusterte , treiben	brisantes , hatten , entsinnen
Die Mutter <b>____</b> <b>____</b> <b>____</b>, auf ihre Tochter weiter einzureden.	ließ , davon , ab	uberziehen , kleinkarierter , zuzuwenden	unausgegoren , verheerendes , anständigen	gesühnt , vervollständigte , preiste
Die New York Times nennt Pompeo in dieser Hinsicht 'hyperaktiv'. Der Außenminister rühmt auf Twitter <b>____</b> die vermeintlich großen außenpolitischen Erfolge der Trump-Ära und schimpft auf die Vorgängerregierung – nicht immer eng an den Fakten, wenn er etwa Barack Obama für einen Rüstungskontrollvertrag angeht, den Ronald Reagan geschlossen hatte.	unablässig	zankt	aushecken	verschlingen
<b>____</b> <b>____</b> diesen Kerlen <b>____</b>, die dich nur zum Alkohol verführen!	Lass , von , ab	Missstände , verhöhnen , am	Trümmern , vollstreckt , geahndet	Anrainer , hantiert , ausgeheckt
<b>____</b> ein wenig Dampf <b>____</b>, bevor du an deinem Ärger erstickst.	Lasse , ab	Ausreizen , irritiert	Verfechter , antun	Verfehlungen , setzte
die Unkosten vom Umsatz <b>____</b>	abrechnen	verblüffen	hält	vormachen
die Steuern vom Lohn <b>____</b>	abrechnen	aufgebrachter	pfiffiges	verficht
Wir zahlen 300 Euro jeden Monat - <b>____</b> wird am Ende des Jahres	abgerechnet	verquere	erschlägt	als
Mit dir werde ich noch <b>____</b>!	abrechnen	verhängnisvolle	fertig	zertrümmert
Biden <b>____</b> <b>____</b> Trumps Krisenmanagement <b>____</b>: US-Präsidentschaftskandidat Joe Biden hat Donald Trump die Eignung als Staatschef abgesprochen. Er könne die Gewalt auf den Straßen nicht stoppen, weil er sie schüre.	rechnet , mit , ab	bieder , unterliegen , abgewimmelt	geben , wälzen , säumigen	lassen , rissen , drängten
Zurück in Hamburg verkündete Kurfess seinem Team mehrere neue Regeln. Die bemerkenswerteste: Seine Angestellten sollten so viele Urlaubstage nehmen dürfen, wie sie wollen. 'Spontan kam das bei allen sehr gut an', sagt der Gründer. Danach wurde die Regel ausgearbeitet und seit Juli befindet sie sich auch in den Arbeitsverträgen. Dort sind seitdem jeweils nur noch 20 Urlaubstage festgeschrieben; zu diesem Minimum ist die Firma nach deutschem Arbeitsrecht verpflichtet. Jeder weitere Tag müsse aber weder mit der Geschäftsführung noch mit der Personalabteilung besprochen werden. Nur die Kollegen und Kolleginnen aus dem Team bräuchten Bescheid zu wissen.  <b>____</b> hat sich Kurfess die Regel für unbegrenzten Urlaub <b>____</b> Netflix.	Abgeschaut , bei	Hinfälligkeit , umgeben	Letztendlich , verheizt	Rückhalt , wittert
Das Kuchenbacken habe ich <b>____</b> <b>____</b> meiner Oma <b>____</b>.	mir , von , abgeschaut	trickste , aufzuzeigen , hanebüchene	spannte , erliegen , aufgeflogen	dahingehend , brachte , grassiert
Viele Erfindungen sind <b>____</b> der Natur <b>____</b>.	bei , abgeschaut	selbstgefälligen , am	verzeichnet , verzerren	aufgeboten , ernüchtern
Du hast den Test doch nicht allein gemacht, du hast <b>____</b> deinem Nachbarn <b>____</b>!	bei , abgeschaut	unterstellte , deponieren	herausstellen , vormachen	begehre , zufügt
Anders formuliert: Dass Angela Merkel die Flüchtlinge vom Budapester Hauptbahnhof nach Deutschland ziehen ließ, war erstens schon damals reine Symbolpolitik. Und zweitens ist spätestens seit dem Türkei-Abkommen im März 2016 die Situation in der europäischen Flüchtlingspolitik eine grundsätzlich andere. Europa hat <b>____</b> weitgehend <b>____</b>.	sich , abgeschottet	anpeilen , sträubten	moniert , abgehackt	zustehen , bekannt
Wie stark SD [Schwedendemokraten, eine rechte Partei, ähnlich wie AfD] das Land <b>____</b> sehen möchte, zeigt sich auch daran, dass sie es für erwähnenswert halten, dass touristischer Austausch mit dem Ausland weiterhin stattfinden soll.	abgeschottet	beharrlich	s	ausschimpfen
Frage: Wofür stand der Ausdruck 'Eiserner Vorhang'? Antwort: Für die <b>____</b> des Warschauer Pakts gegen den Westen	Abschottung	Perfide	Gewerkschaften	Beharrung
Er [Elon Musk] hat schon in der Vergangenheit eine angebliche Übernahme erwogen, die er finanziell nicht stemmen konnte. 2018 fabulierte er, natürlich auf Twitter, darüber, Tesla von der Börse zu nehmen, die Finanzierung sei gesichert. Obwohl das offenbar gar nicht stimmte. Die US-Börsenaufsicht rügte Musk, er musste sich unter anderem dazu verpflichten, marktbewegende Tweets vorher [mit der Behörde] <b>____</b> zu lassen, und streitet bis heute mit Anlegern vor Gericht.	absegnen	entnimmt	auferlegt	aufbringen
Ich habe eine Woche am Konzept gearbeitet. Ich hoffe, dass mein Chef das auch <b>____</b>.	absegnet	eingenistet	entwenden	abgewinnen
Es war <b>____</b> – und doch kam Deutschlands neuer Lockdown dann gestern ziemlich plötzlich.	abzusehen	erließ	rücken	aufgekratzter
Den Trick hab ich mir <b>____</b> meinem Vater <b>____</b>.	bei , abgesehen	ab , umständlich	hergibt , wandte	zeichnete , flogen
Wir sehen <b>____</b> einer Anzeige <b>____</b>	von , ab	verprellte , schlappe	vorgenommen , verdonnern	nehmt , nistet
<b>____</b> jemandes Fehler <b>____</b>	von , absehen	abwimmeln , abzuwenden	warf , verworfen	zumal , verheerte
Er <b>____</b> <b>____</b> <b>____</b> seine hübsche Nachbarin <b>____</b>	hat , es , auf , abgesehen	schlapper , liefen , taugt , aushecken	verschloß , spöttisch , vernahmen , aufziehen	walzt , übereinstimmen , scherte , abgemüht
Heute <b>____</b> <b>____</b> der Meister <b>____</b> den Lehrling <b>____</b>.	hat , es , auf , abgesehen	erzwingen , perfiden , abzusetzen , sich	verwahrt , aufgeboten , erkoren , entlarvte	lässt , schert , bekräftige , unentwegtes
<b>____</b> <b>____</b> der Parteilinie <b>____</b>	sich , von , absetzen	beanstanden , nachsehen , zermürbende	maßgeblich , en , aufzuspüren	zusteht , betäubt , rückte
Wer über ein Abonnement etwa des Marktführers Spotify verfügt, kann sich ohne weitere Mühen Millionen von Songs anhören. Für viele Musiker ist die Lage nicht so angenehm. Sie klagen schon lange darüber, dass sie <b>____</b> mickrigen Honoraren <b>____</b> werden, denn im Durchschnitt wird pro Stream nur der Bruchteil eines Cents ausgezahlt.	mit , abgespeist	wittern , knickten	törichte , trösten	desavouiert , durchgegriffen
Ich würde mich nicht <b>____</b> leeren Versprechungen <b>____</b> lassen!	mit , abspeisen	beharrlich , führt	vertat , aufbringt	zankten , hochmütig
Jungtiere / kranke Tiere <b>____</b> der Herde <b>____</b>.	von , absondern	zerschlugen , ruppige	fängt , irreführend	gängeln , vorgehalten
sich <b>____</b> der Umwelt / den Klassenkameraden <b>____</b>.	von , absondern	ein , fertig	auszeichnet , veralbert	vorzumachen , abgehackt
Die Wunde <b>____</b> Eiter <b>____</b> / Schweiß <b>____</b>.	sondert , ab , absondern	dreht , gestürzt , zeigte	garstiges , abfinden , verklären	unterjochen , anmutenden , schwingen
Die Färbung der Iris wird durch die Menge der Pigmente (Melanin) bestimmt, die die Netzhaut des Auges bildet. Melanin ist ein Protein, das von speziellen Zellen, den Melanozyten, <b>____</b> wird. Dieses Protein ist auch für die Hautfarbe oder die Haarfarbe zuständig.	abgesondert	mustert	eingesteht	aufbringen
einen Zeitplan mit einem Kollegen <b>____</b>.	absprechen	grantige	hakte	erlassene
Habt ihr euch <b>____</b>, wer wann an die Reihe kommt?	abgesprochen	lassen	vorgeben	verpflichtet
Uns wird hier das Recht auf freie Meinungsäußerung <b>____</b>!	abgesprochen	erhabenen	widersprüchliche	erhaben
Ich will ihm ja den guten Willen nicht <b>____</b>, aber erfolgreich war er nicht.	absprechen	mitunter	abgewinnen	mutet
Einen gewissen Charme kann man ihm nicht <b>____</b>.	absprechen	flashe	vorweg	beteuerte
Die vielen Gegner Leipzigs aber <b>____</b> dem mit Millionen gepäppelten Verein jede Leistung <b>____</b>, so als wäre dieses historische Ereignis von Lissabon allein die Folge des Investments durch Red Bull. Dabei haben andere Clubs noch viel mehr Geld ausgegeben.	sprechen , ab	beanstanden , verbautes	vorgenommen , rangieren	zustünde , eingeknickt
Kann ich meine Sachen bei euch auf dem Speicher <b>____</b>, bis ich eine Wohnung finde?	abstellen	unterlaufen	kommen	tachelt
Sie <b>____</b> die Tasche mit den Einkäufen auf dem Tisch <b>____</b>.	stellte , ab	ausgewalzt , nachtragend	kürt , schaurig	pöbelten , irreführend
nach einer Überschwemmung Polizisten, Soldaten <b>____</b> Hilfsarbeiten <b>____</b>.	für , abstellen	verschlägt , werden	sprechen , maßt	verlassen , wahrten
den Fernseher/das Gas/das Radio/den Strom/das Wasser <b>____</b>.	abstellen	damit	der	verdonnerte
Mängel / Missstände / jemandes Unarten / eine schlechte Angewohnheit <b>____</b>.	abstellen	brüllte	trotzigem	rüttelte
Als Martin Luther in der Arbeitstube seiner Wittenberger Priesterwohnung die berühmten 95 Thesen schrieb, ging es ihm lediglich darum, die Missstände (Verweltlichung, Umgehung des Zölibats) in der römischen Kirche <b>____</b>.	abzustellen	flashte	vorherrschende	nötigte
die Werbung <b>____</b> bestimmte Verbraucher <b>____</b>.	auf , abstellen	irreführen , nehmt	einsieht , stelle	fühlte , verschließen
Das ist eine Einfahrt, hier können sie ihr Auto nicht <b>____</b>.	abstellen	verunglimpft	hervor	bekräftigten
<b>____</b> <b>____</b> Einkommen hinnehmen müssen	Abstriche , am	Anstoßes , anmutenden	Augen , schreiben	Befindlichkeit , eingenistet
Die kommunistische Führung in China nennt die Insel [Taiwan] '<b>____</b>' und beansprucht sie weiter für sich.	abtrünnig	abartige	vornherein	zankten
Meine Schwester ist der Familie <b>____</b> geworden.	abtrünnig	malt	ab	putzig
Im November verkündete Söder dann, Bayern sei raus aus dem Projekt. Kurz darauf zog Baden-Württemberg nach. Berlin schlug vor, man könne ja ohne die <b>____</b> ein Gremium schaffen.	Abtrünnigen	Wonach	Gefolgschaft	Bestand
Meine Frau <b>____</b> nicht einmal ihre Kittelschürze <b>____</b>, als mein Chef zu Besuch kam.	tat , ab	zugelassen , weist	ruppig , zu	plump , abgesprochen
<b>____</b> doch mal den Schlips <b>____</b>, Wolfgang. Wir sind hier nicht bei einer Galaveranstaltung.	Tu , ab	Rohrkrepierer , auslegen	Ausmaß , aufgefangen	Augen , packt
Du solltest deine Krankheit nicht so <b>____</b>, sondern sie ernst nehmen.	abtun	brisante	unter	gecheckt
<b>____</b> die Hausaufgaben nicht so <b>____</b>. Es ist wichtig, dass du sie sorgfältig erledigst.	Tu , ab	Halde , eingespannt	Gutmütig , legen	Köder , unausgegoren
Mariana <b>____</b> die Besorgnis ihrer Familie immer <b>____</b> übertrieben <b>____</b>, wenn sie wieder zu einem Hilfseinsatz nach Afghanistan fliegt.	tut , als , ab	beschert , urige , auswalzen	ansetzen , verherrlichung , hecken	gestürzt , abfedern , erliegen
Man könnte diesen unbedingten Wunsch nach Provokation <b>____</b> kindergartig <b>____</b> und läge nicht völlig verkehrt, aber würde trotzdem dem Phänomen nicht gerecht. Dahinter steht sehr viel mehr, nämlich letztlich eine massive Krise der westlichen Selbstwahrnehmung.	als , abtun	bieder , machst	verringern , wandte	auszuschlagen , weitläufig
jemandes Einwände mit einer Handbewegung <b>____</b>	abtun	exponierter	durchgegriffen	lenkte
etwas <b>____</b> unwichtig, unbegründet <b>____</b>	als , abtun	hantieren , raunte	zähen , en	herausstellen , anbiedern
Die meisten Chinesinnen und Chinesen haben mit vielen der amerikanischen Vorwürfe kein Problem. Sie würden nicht lange abstreiten, dass die Anschuldigungen zutreffen, mit denen die USA ihre Forderungen im Handelskrieg untermauern: Wirtschaftsspionage durch China, Diebstahl geistigen Eigentums, Bruch der US-Sanktionen gegen den Iran. Womöglich würden Chinesen die Vorwürfe auch einfach <b>____</b>.	abtun	abzusetzen	aufgezeigt	aufging
Obwohl Wladislaw sich im Betrieb sehr engagiert, <b>____</b> ihn sein Chef wegen seiner russischen Herkunft immer arrogant <b>____</b>.	tut , ab	zuschreiben , vervollständigte	unter , aufgeboten	schillernde , anständige
Am Ende gewann Black Panther immerhin drei Oscars, wenn auch nur in den gemeinerweise als Nebenkategorien <b>____</b> Sparten Kostümdesign, Filmmusik und Szenenbild.	abgetanen	abgemüht	zufügt	abhalten
Wir wollen diesen mickrigen Auftrag nun schnellstmöglich <b>____</b>	abtun	skandieren	urig	angepeilten
Das Pferd war so krank, dass es <b>____</b> werden musste.	abgetan	sezierte	traut	eingängigeres
Zu einer parlamentarischen Monarchie wurde das Kaiserreich erst 1918 im Schatten der militärischen Niederlage im Ersten Weltkrieg, und das auch nur deshalb, weil die Oberste Heeresleitung die Verantwortung für die Verhandlungen über einen Waffenstillstand und einen Friedensvertrag <b>____</b> die friedenswilligen Mehrheitsparteien des Reichstags, die Sozialdemokraten, das katholische Zentrum und die linksliberale Fortschrittliche Volkspartei, <b>____</b> wollte.	auf , abwälzen	wie , zu	hanebüchen , stand	auszuschlagen , grässlichen
Naja. Die Idee, im Jahr 2016 von einem analogen zu einem digitalen Standard zu wechseln, ist nicht <b>____</b>.	abwegig	pennen	unterläuft	bekennen
Bei solch gruseligen Szenen muss ich immer meinen Blick <b>____</b> Fernseher <b>____</b>.	vom , abwenden	vorenthalten , verklärte	verblassten , schlossen	setzen , stachelte
Alle Freunde <b>____</b> <b>____</b> <b>____</b> ihr <b>____</b>, nachdem ihr der Doktortitel aberkannt worden war.	wandten , sich , von , ab	zäher , durchgreifen , monierten , eingeknickt	frappierendsten , herausstellen , verfochten , ausmalen	verdutzte , nistet , unterstellte , durchhalten
Denn am Ende stützten viele unter ihnen die nötige Zweidrittelmehrheit, um Nixon das Vertrauen zu entziehen. Was jedoch selten erwähnt wird: Die republikanischen Senatoren <b>____</b> <b>____</b> erst <b>____</b> ihrem Präsidenten <b>____</b>, als Nixon bei den republikanischen Wählern unten durch war; als deren Zustimmung unter die 50-Prozent-Marke gerutscht war.	wandten , sich , von , ab	auffangen , verfochten , aufbringt , wuchtiger	überstürzte , brüllen , abstellen , auszulagern	raunte , knickte , eingeknickt , frisierte
2018 versuchten die Betreiber [der CeBIT-Konferenz] ein letztes Mal, das schon lange drohende Ende <b>____</b>	abzuwenden	hauch	geflecht	beanstandet
Die Katastrophe war nicht mehr <b>____</b>.	abzuwenden	entrannen	rechnet	vollstreckt
<b>____</b> einem unglaublichen Reflex <b>____</b> er den Hieb <b>____</b>.	Mit , wendete , ab	Zumutung , zuzugreifen , erlegte	Obrigkeiten , überführen , auszugleichen	Aufschluss , beigetreten , s
Im September hatte sich Manafort im Zusammenhang mit seiner früheren Lobbyistenarbeit in der Ukraine einer Verschwörung gegen die USA schuldig bekannt und war einen sogenannten 'plea deal' mit der Staatsanwaltschaft eingegangen. Darin erklärte er sich bereit, bei den Ermittlungen zu möglichen illegalen Absprachen zwischen dem Team des damaligen Präsidentschaftsbewerbers Donald Trump und der Regierung in Moskau zu kooperieren. <b>____</b> wollte er einen zweiten Prozess <b>____</b>.	Damit , abwenden	Daraufhin , verschaffen	Verleumdung , vollzog	Einlenken , zog
einen lästigen Verehrer <b>____</b>	abwimmeln	checken	geraten	ein
einen Auftrag <b>____</b>	abwimmeln	angetan	legen	greift
Sie hat mich nicht reingelassen, sondern an der Haustür <b>____</b>.	abgewimmelt	mustere	mustert	ergeht
In der Schule lernten wir, mitgebrachte Gegenstände <b>____</b>.	abzuzeichnen	kassiert	verbarg	beanstandet
Der Abteilungsleiter muss noch den Urlaubsantrag <b>____</b>.	abzeichnen	absetzen	verkommt	aufführen
Ihr BH <b>____</b> <b>____</b> deutlich unter dem T-Shirt <b>____</b>.	zeichnete , sich , ab	begehrten , gestell , des	ausufert , vorzumachen , vornehmen	verfangen , reüssierten , hauen
<b>____</b> <b>____</b> schon <b>____</b>, wer für den Posten in Frage kommt? / Für den Antrag <b>____</b> <b>____</b> keine Mehrheit <b>____</b>.	Zeichnet , sich , ab , zeichnet , sich , ab	Pendant , mustert , wahrten , nachlesen , greifen , schlägt	Klamauk , wie , bewährte , ihr , verdutztes , unverkennbare	Traust , verhängt , gebannt , verkraften , einschlägiger , verbindliche
ein Trend, ein Umschwung, eine Wende, eine Gefahr <b>____</b> <b>____</b> <b>____</b>.	zeichnet , sich , ab	sezierte , zufügen , am	vollstreckte , überdrüssig , ausmalen	heraufbeschwören , einsieht , aufzuspüren
Die Freude über die gelungene Versöhnung <b>____</b> <b>____</b> in seinem Gesicht <b>____</b>.	zeichnete , sich , ab	unmittelbar , lässt , verherrlichen	noch , umworbener , beständigem	ersucht , bedarf , entgegenkommende
Fast jede dritte Corona-Infektion in Deutschland, nämlich 30,9 Prozent, geht aktuell auf die Variante B.1.1.7 zurück, zeigen die neuesten Daten des Robert Koch-Instituts (RKI). Tendenz steigend. Das Problem dabei: Schon seit Wochen <b>____</b> <b>____</b> <b>____</b>, dass nicht einmal die Maßnahmen des aktuellen Lockdowns ausreichen, um die Ausbreitung der Variante zu stoppen. Die neuesten Zahlen lassen daran nun keinen Zweifel mehr: Trotz Lockdown stecken sich Woche um Woche mehr Menschen mit B.1.1.7 an.	zeichnet , sich , ab	anständige , monierten , ergiebige	tat , benachteiligt , erlasse	verwaist , bewältigte , vermiest
Bill Gates: Die Welt war schon vor dieser Pandemie sehr ungerecht, was die Gesundheit angeht. Nehmen Sie als Beispiel eine andere Infektionskrankheit, das Rotavirus, das vor allem bei Kindern schwere Durchfälle verursachen kann. Als ein Rotavirusimpfstoff auf den Markt kam, ging er zuerst an Kinder in reichen Ländern. Und das obwohl sie – wegen der medizinischen Versorgung – ein 20-mal geringeres Risiko haben, an einer Rotavirusinfektion zu sterben. Der Großteil unserer Arbeit bei der Gates-Stiftung <b>____</b> <b>____</b> <b>____</b>, Ungleichheit im Gesundheitsbereich zu reduzieren. Auch wenn die Welt vor der Pandemie äußerst ungleich war: Sie war weniger ungleich als im Jahr 2000, bevor wir unsere Arbeit begannen.	zielt , darauf , ab	hatten , folgerichtiger , einzubinden	erschleichen , wittern , sich	auszeichnet , vorgebliche , erregt
Seine Bemerkung <b>____</b> <b>____</b> unser Mitleid <b>____</b>.	zielte , auf , ab	instrumentalisiert , eingehender , lauscht	allgegenwärtig , her , packen	rechtfertigen , auffangen , erpicht
Die DDR kehrte 1950 zur alten Fassung des § 175 zurück; der § 175a wurde weiterhin angewendet. Ab Ende der 1950er Jahre wurden homosexuelle Handlungen unter Erwachsenen nicht mehr <b>____</b>.	geahndet	entfällt	schauriges	garstiger
Dieser Gesetzesverstoß wird mit zwei Jahren Haft <b>____</b>.	geahndet	eingesteht	geißelten	fängt
